"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\13604\Desktop\file\Monument-Valley\src\core\Game.js", "JavaScript", 0, 78, 12, 19, 109
"c:\Users\13604\Desktop\file\Monument-Valley\src\core\LevelManager.js", "JavaScript", 0, 91, 6, 16, 113
"c:\Users\13604\Desktop\file\Monument-Valley\src\core\SceneManager.js", "JavaScript", 0, 141, 12, 33, 186
"c:\Users\13604\Desktop\file\Monument-Valley\src\levels\level-1.json", "JSON", 99, 0, 0, 0, 99
"c:\Users\13604\Desktop\file\Monument-Valley\src\levels\level0.json", "JSON", 1201, 0, 0, 2, 1203
"c:\Users\13604\Desktop\file\Monument-Valley\src\levels\level1.json", "JSON", 376, 0, 0, 1, 377
"c:\Users\13604\Desktop\file\Monument-Valley\src\levels\level2.json", "JSON", 873, 0, 0, 1, 874
"c:\Users\13604\Desktop\file\Monument-Valley\src\levels\level3.json", "JSON", 115, 0, 0, 1, 116
"c:\Users\13604\Desktop\file\Monument-Valley\src\levels\level4.json", "JSON", 715, 0, 0, 1, 716
"c:\Users\13604\Desktop\file\Monument-Valley\src\levels\level5.json", "JSON", 376, 0, 0, 1, 377
"c:\Users\13604\Desktop\file\Monument-Valley\src\levels\level6.json", "JSON", 75, 0, 0, 1, 76
"c:\Users\13604\Desktop\file\Monument-Valley\src\levels\level7.json", "JSON", 70, 0, 0, 1, 71
"c:\Users\13604\Desktop\file\Monument-Valley\src\levels\level8.json", "JSON", 136, 0, 0, 5, 141
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\Button.js", "JavaScript", 0, 65, 13, 9, 87
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\Character.js", "JavaScript", 0, 183, 20, 34, 237
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\DoublePlate.js", "JavaScript", 0, 17, 0, 5, 22
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\Ladder.js", "JavaScript", 0, 42, 6, 11, 59
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\Ocean.js", "JavaScript", 0, 145, 17, 31, 193
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\Plate.js", "JavaScript", 0, 17, 0, 6, 23
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\Platform.js", "JavaScript", 0, 11, 2, 3, 16
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\Quad.js", "JavaScript", 0, 106, 8, 21, 135
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\Rain.js", "JavaScript", 0, 48, 13, 13, 74
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\Signal.js", "JavaScript", 0, 65, 1, 2, 68
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\SignalResponsiveObject.js", "JavaScript", 0, 230, 23, 39, 292
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\Snow.js", "JavaScript", 0, 47, 8, 14, 69
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\Surface.js", "JavaScript", 0, 33, 5, 3, 41
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\Totem.js", "JavaScript", 0, 167, 27, 29, 223
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\TriangularPrism.js", "JavaScript", 0, 48, 3, 6, 57
"c:\Users\13604\Desktop\file\Monument-Valley\src\objects\TriggerObject.js", "JavaScript", 0, 45, 1, 9, 55
"c:\Users\13604\Desktop\file\Monument-Valley\src\params\IsDevMode.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\13604\Desktop\file\Monument-Valley\src\utils\ConsoleUtils.js", "JavaScript", 0, 83, 14, 15, 112
"c:\Users\13604\Desktop\file\Monument-Valley\src\utils\LevelLoadUtils.js", "JavaScript", 0, 136, 18, 23, 177
"c:\Users\13604\Desktop\file\Monument-Valley\src\utils\LevelSelectBox.js", "JavaScript", 0, 243, 21, 61, 325
"c:\Users\13604\Desktop\file\Monument-Valley\src\utils\QuadUtils.js", "JavaScript", 0, 57, 4, 15, 76
"c:\Users\13604\Desktop\file\Monument-Valley\src\utils\SignalUtils.js", "JavaScript", 0, 149, 22, 25, 196
"Total", "-", 4036, 2248, 256, 456, 6996
